A1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
J1:1
J2:1
J3:1
JP1:1
L1:1
L2:1
L3:1
L4:1
LED1:1
LED2:1
LED3:1
R1:1
R2:1
R3:1
U1:1
X1:1
X2:1
clk:1
gnd:1
io:1
set:1
